,state,city,zip_code,latitude,longitude
374,CA,American Canyon,94503,38.182987,-122.252632
375,CA,Anaheim,92801,33.833236,-117.995057
376,CA,Anaheim,92801,33.8363,-117.938
377,CA,Anaheim,92801,33.857602,-117.918796
378,CA,Anaheim,92805,33.819473,-117.908042
379,CA,Anderson,96007,40.431344,-122.289703
380,CA,Antelope,95843,38.712775,-121.394667
381,CA,Antioch,94531,37.96348,-121.761615
382,CA,Apple Valley,92307,34.525592,-117.223224
383,CA,Arroyo Grande,93420,35.1289517,-120.5977084
384,CA,Atwater,95301,37.340296,-120.609275
385,CA,Bakersfield,93306,35.391531,-118.960829
386,CA,Bakersfield,93307,35.298796,-119.029215
387,CA,Bakersfield,93307,35.353387,-118.947601
388,CA,Bakersfield,93308,35.434523,-119.022288
389,CA,Bakersfield,93312,35.370037,-119.147611
390,CA,Bakersfield,93312,35.386354,-119.095662
391,CA,Bakersfield,93312,35.411874,-119.112528
392,CA,Bakersfield,93313,35.308793,-119.095393
393,CA,Baldwin Park,91706,34.071943,-117.963494
394,CA,Barstow,92311,34.882594,-116.991694
395,CA,Beaumont,92223,33.925116,-116.9516584
396,CA,Brawley,92227,32.962431,-115.545833
397,CA,Brea,92821,33.9135102,-117.8653504
398,CA,Buena Park,90620,33.84467,-117.986649
399,CA,Burbank,91502,34.188222,-118.32521
400,CA,Calexico,92231,32.697644,-115.496576
401,CA,Camarillo,93010,34.217292,-119.074618
402,CA,Carmichael,95608,38.6625991,-121.3249003
403,CA,Carson,90746,33.8483863,-118.2634793
404,CA,Ceres,95307,37.606766,-120.93739
405,CA,Cerritos,90703,33.872491,-118.061727
406,CA,Chico,95928,39.723234,-121.804955
407,CA,Chino,91710,33.995325,-117.719321
408,CA,Chula Vista,91910,32.637851,-117.024932
409,CA,Chula Vista,91910,32.651877,-117.094289
410,CA,Chula Vista,91911,32.606887,-117.083014
411,CA,Chula Vista,91915,32.631012,-116.968043
412,CA,Citrus Heights,95610,38.675699,-121.273287
413,CA,Citrus Heights,95621,38.689487,-121.295274
414,CA,City Of Industry,91745,33.998396,-117.932358
415,CA,Clearlake,95422,38.931599,-122.616359
416,CA,Clovis,93611,36.807126,-119.680832
417,CA,Clovis,93611,36.839765,-119.695785
418,CA,Clovis,93612,36.811301,-119.716929
419,CA,Coachella,92236,33.698811,-116.215202
420,CA,Colton,92324,34.050112,-117.306233
421,CA,Compton,90221,33.910022,-118.208176
422,CA,Corona,92879,33.89087,-117.517267
423,CA,Corona,92881,33.846009,-117.541261
424,CA,Corona,92882,33.87734,-117.596143
425,CA,Covina,91722,34.102622,-117.909601
426,CA,Crescent City,95531,41.774985,-124.189935
427,CA,Delano,92315,35.743983,-119.248053
428,CA,Diamond Bar,91765,34.001124,-117.809269
429,CA,Dinuba,93618,36.543418,-119.402385
430,CA,Dixon,95620,38.471927,-121.820361
431,CA,Downey,90242,33.924644,-118.129015
432,CA,Downey,90242,33.928185,-118.147756
433,CA,Duarte,91010,34.134035,-117.9838889
434,CA,El Cajon,92020,32.804338,-116.968341
435,CA,El Cajon,92021,32.797303,-116.936688
436,CA,El Cajon,92021,32.822626,-116.901748
437,CA,El Centro,92243,32.813411,-115.577324
438,CA,Elk Grove,95757,38.391338,-121.41621
439,CA,Elk Grove,95758,38.410207,-121.39202
440,CA,Elk Grove,95758,38.411762,-121.391694
441,CA,Encinitas,92024,33.069254,-117.266426
442,CA,Escondido,92027,33.1300697,-117.0629723
443,CA,Escondido,92027,33.130137,-117.062977
444,CA,Eureka,95501,40.780681,-124.190507
445,CA,Fairfield,94533,38.2790814,-122.0352432
446,CA,Folsom,95630,38.668326,-121.167602
447,CA,Fontana,92335,34.105588,-117.428136
448,CA,Foothill Ranch,92610,33.679795,-117.671317
449,CA,Fremont,94538,37.520242,-121.985626
450,CA,Fremont,94539,37.511302,-121.943195
451,CA,Fresno,93650,36.8391419,-119.8033202
452,CA,Fresno,93703,36.778967,-119.756212
453,CA,Fresno,93710,36.836316,-119.731113
454,CA,Fresno,93722,36.810606,-119.860333
455,CA,Fresno,93726,36.79259,-119.789216
456,CA,Fresno,93727,36.738206,-119.721718
457,CA,Galt,95632,38.289653,-121.304762
458,CA,Garden Grove,92840,33.800975,-117.94235
459,CA,Garden Grove,92841,33.790787,-117.964352
460,CA,Gilroy,95020,37.008583,-121.551183
461,CA,Glendora,91740,34.116431,-117.82595
462,CA,Granite Bay,95746,38.742435,-121.224989
463,CA,Hanford,93230,36.32181,-119.676372
464,CA,Hawthorne,90250,33.900143,-118.362426
465,CA,Hemet,92543,33.745448,-116.979639
466,CA,Hemet,92545,33.72639,-117.009917
467,CA,Hesperia,92345,34.424199,-117.370036
468,CA,Highland,92346,34.137744,-117.194853
469,CA,Huntington Beach,92646,33.700181,-117.985512
