,name,latitude,longitude,store_id
0,Conway Supercenter,35.10866,-92.436905,5eb5e7fc-88b6-4326-9f6f-c2bfee082258
1,Sikeston Supercenter,36.857394,-89.586051,03419f7a-e60f-4b7b-9bea-edff19c1a24a
2,Tahlequah Supercenter,35.888765,-94.979859,a7b1bc6a-17b6-4de1-ae2e-eecd653bf891
3,Mountain Home Supercenter,36.3549565,-92.3410256,bf317faf-d154-4980-a8d1-83161bfbbacf
4,Claremore Supercenter,36.293955,-95.627125,04508372-c00b-4e4c-a486-524e9730040f
5,Carthage Supercenter,37.141958,-94.313292,dfee14b8-cc3a-4b85-a3bc-ef59f174abb0
6,Rogers Supercenter,36.3313,-94.149024,a0204848-da68-471b-9053-347c131798c2
7,Siloam Springs Supercenter,36.183467,-94.512608,f24bcb4f-69dd-410e-ba85-3bcd6c8b3b4d
8,Lebanon Supercenter,37.663493,-92.645849,58364b97-fa4a-4e4c-a852-cfeb3a7eed17
9,West Plains Supercenter,36.714712,-91.870322,9b717f58-affd-4844-a749-4d16a2369596
10,Sherwood Supercenter,34.838767,-92.236838,4cb57618-19aa-47d9-b3db-a5d76ed4cb6b
11,Harrison Supercenter,36.269042,-93.139074,b5ae8708-1369-4b80-a9c5-c27f969d661c
12,Commerce Supercenter,34.247854,-83.456616,41b62fca-bcd5-4747-b43c-c04402c1afc0
13,Van Buren Supercenter,35.469113,-94.353427,6ea0732b-62e1-4f23-8f3e-10b45f2970df
14,Newport Supercenter,35.618058,-91.254954,ff0740cc-12e4-4c70-8fb1-61824bf9bf28
15,Morrilton Supercenter,35.168795,-92.726727,663bd7ae-9101-482c-a658-1e78e02d34dc
16,Neosho Supercenter,36.839161,-94.397282,53ca0cf6-ec12-42f0-8adf-01bc4e28f7d1
17,Saint Robert Supercenter,37.825154,-92.152265,43a822ab-30ea-40f0-92ac-613563bf89a4
18,Poplar Bluff Supercenter,36.755728,-90.411818,6bda1f7d-6bc7-4ee3-b56a-1569b3c5253f
19,Pryor Supercenter,36.262476,-95.330024,9d60bf67-ca0a-4854-b5c3-dc7f46e519c3
20,Clinton Supercenter,38.362772,-93.750585,53ddda2e-fb48-4324-8f8f-de4ad2d50b58
21,Jacksonville Supercenter,34.885098,-92.11255,a99a2005-3ab7-47e6-b32c-cae02ccf0bc9
22,Leavenworth Supercenter,39.268764,-94.930386,57202aea-d1fe-4525-a0cd-bf61a928d9f4
23,Ruston Supercenter,32.543518,-92.624043,343264ef-b266-4580-bfed-2d2f9c201b78
24,Mexico Supercenter,39.120508,-91.890515,7a1ec7c4-ce44-432c-904c-2e37a25a0aea
25,Salem Supercenter,37.634119,-91.546043,4c7329fe-eed5-415d-b358-c3960ffbbd1a
26,Miami Supercenter,36.904509,-94.880384,1885c5d5-88dd-428f-a181-2d98992138a7
27,Dexter Supercenter,36.801185,-89.992373,dbbe4a32-2a17-46c3-993f-f3e8d1a82690
28,Poteau Supercenter,35.094581,-94.628209,27fb4ab9-ad04-42ca-ab68-352c391dfc68
29,Branson Store,36.639045,-93.259769,f9e8874c-f16e-44f7-abd2-35c394e87cea
30,Manhattan Supercenter,39.188472,-96.556204,8092bf6c-f7d4-4a96-9404-2c230fd7c9c4
31,Nevada Supercenter,37.832201,-94.326552,d606da62-36af-438a-8dbb-32369076139b
32,Nashville Supercenter,33.925385,-93.857443,a69e321c-0f11-4e26-843a-de43bf41ae5e
33,Paragould Supercenter,36.057305,-90.52294,3fe233e1-0f1a-4733-b876-c7e70be7db7a
34,Farmington Supercenter,37.7894913,-90.4353609,d911b57b-831b-4416-aa03-e2338cc49bef
35,Idabel Supercenter,33.898037,-94.803528,c1912342-4e84-40d1-aa69-b8d24cfe1d10
36,Bartlesville Supercenter,36.740695,-95.931584,c5ca32f5-78b6-494d-9ef6-690b658d74ba
37,Fort Scott Supercenter,37.807978,-94.708671,b44105b8-4822-4f17-8702-150675a2b1cf
38,Coffeyville Supercenter,37.042359,-95.579038,01ec325d-0527-4f64-88a0-106a1f18ca63
