,order_number,purchase_date,family_id,order_total,qty,super_market_uuid,product_id,product_name,price
0,LXH-519933,2021-01-25 10:26:02,PffcRNJxYK,1,1,a197dfa1-3aa4-4d83-b1bf-8a6dac7530b3,11786,Free & Clear All-Purpose Natural Cleaner,12.76
1,axl-469572,2021-01-02 03:59:25,LnsjykTPKN,7,3,59046f82-3945-42a9-9403-c78a7fc340fd,30446,All Natural Chicken Livers,86.19
2,axl-469572,2021-01-02 03:59:25,LnsjykTPKN,7,2,59046f82-3945-42a9-9403-c78a7fc340fd,47952,"Soap, Buttermilk",52.9
3,axl-469572,2021-01-02 03:59:25,LnsjykTPKN,7,1,59046f82-3945-42a9-9403-c78a7fc340fd,20218,"Pancake & Waffle Mix, Six Grain Cinnamon",9.11
4,axl-469572,2021-01-02 03:59:25,LnsjykTPKN,7,2,59046f82-3945-42a9-9403-c78a7fc340fd,4697,"Eggs, Cheese & Turkey Sausage Breakfast Burrito",7.93
5,axl-469572,2021-01-02 03:59:25,LnsjykTPKN,7,4,59046f82-3945-42a9-9403-c78a7fc340fd,11794,Quinn Butter and Sea Salt Popcorn,87.07
6,axl-469572,2021-01-02 03:59:25,LnsjykTPKN,7,1,59046f82-3945-42a9-9403-c78a7fc340fd,36231,Men's Health Tablets Multivitamin/Multimineral Supplement,78.77
7,axl-469572,2021-01-02 03:59:25,LnsjykTPKN,7,3,59046f82-3945-42a9-9403-c78a7fc340fd,37771,Magnesium 250 mg Tablets,45.34
8,dPl-201171,2021-01-16 13:20:15,LnsjykTPKN,4,1,59046f82-3945-42a9-9403-c78a7fc340fd,18370,Organic Shredded Mozzarella,46.94
9,dPl-201171,2021-01-16 13:20:15,LnsjykTPKN,4,4,59046f82-3945-42a9-9403-c78a7fc340fd,12327,Chicken Condensed Consomme,81.8
10,dPl-201171,2021-01-16 13:20:15,LnsjykTPKN,4,3,59046f82-3945-42a9-9403-c78a7fc340fd,9983,Pancake + Waffle Mix,8.88
11,dPl-201171,2021-01-16 13:20:15,LnsjykTPKN,4,4,59046f82-3945-42a9-9403-c78a7fc340fd,47367,Grape Flavored Pain Reliever and Fever Reducer,28.71
12,MLU-717713,2021-01-24 09:18:55,LnsjykTPKN,8,3,59046f82-3945-42a9-9403-c78a7fc340fd,4461,Organic Raw Unfiltered Apple Cider Vinegar,25.03
13,MLU-717713,2021-01-24 09:18:55,LnsjykTPKN,8,3,59046f82-3945-42a9-9403-c78a7fc340fd,15964,100% Prune  Juice,6.79
14,MLU-717713,2021-01-24 09:18:55,LnsjykTPKN,8,4,59046f82-3945-42a9-9403-c78a7fc340fd,10137,Udis Gluten Free Italian Sausage Lasagna,81.26
15,MLU-717713,2021-01-24 09:18:55,LnsjykTPKN,8,3,59046f82-3945-42a9-9403-c78a7fc340fd,24893,Organic Creamy Sweet Pea Soup,65.24
16,MLU-717713,2021-01-24 09:18:55,LnsjykTPKN,8,3,59046f82-3945-42a9-9403-c78a7fc340fd,2377,Mister Salty Pretzels & Cheese Dip Handy Snacks,6.31
17,MLU-717713,2021-01-24 09:18:55,LnsjykTPKN,8,1,59046f82-3945-42a9-9403-c78a7fc340fd,24354,Acai & Cacao Acai Bar,84.99
18,MLU-717713,2021-01-24 09:18:55,LnsjykTPKN,8,3,59046f82-3945-42a9-9403-c78a7fc340fd,19594,Rainbow Berry Soft & Chewy Candy,76.56
19,MLU-717713,2021-01-24 09:18:55,LnsjykTPKN,8,3,59046f82-3945-42a9-9403-c78a7fc340fd,29948,"Beneful Chopped Blends With Salmon, Sweet Potatoes, Brown Rice & Spinach Dog Food",2.91
20,yMX-805569,2021-01-05 22:21:53,LnsjykTPKN,2,4,59046f82-3945-42a9-9403-c78a7fc340fd,5719,Soft Ripened Cheese Log Brie,43.43
21,yMX-805569,2021-01-05 22:21:53,LnsjykTPKN,2,1,59046f82-3945-42a9-9403-c78a7fc340fd,14103,Kelp 660 mg Capsules,77.11
22,hpm-938850,2021-01-16 10:07:08,RzsPAEECHs,5,4,64ca4c3d-4b23-4cfc-bb25-0c66c10fa2a5,29178,100 Calorie Ritz Snnack Mix Packs,59.25
23,hpm-938850,2021-01-16 10:07:08,RzsPAEECHs,5,4,64ca4c3d-4b23-4cfc-bb25-0c66c10fa2a5,22820,Selenium Tb 200 Mcg,39.62
