,order_number,purchase_date,family_id,order_total,qty,super_market_uuid,product_id,product_name,price
0,Lfk-975998,2021-01-30 06:37:22,JMaChXxUMb,6,4,1c2ff925-cf37-4388-803c-5adbcd3a68f9,4943,Birthday Cake Ice Cream,71.68
1,Lfk-975998,2021-01-30 06:37:22,JMaChXxUMb,6,4,1c2ff925-cf37-4388-803c-5adbcd3a68f9,8325,"1,000 mg Vitamin C Effervescent Powder Drink Cranberry Each Pak single",3.31
2,Lfk-975998,2021-01-30 06:37:22,JMaChXxUMb,6,4,1c2ff925-cf37-4388-803c-5adbcd3a68f9,23631,Spicy Salsa,43.77
3,Lfk-975998,2021-01-30 06:37:22,JMaChXxUMb,6,2,1c2ff925-cf37-4388-803c-5adbcd3a68f9,28148,100% Natural Seltzer Calorie-Free Raspberry Lime,5.71
4,Lfk-975998,2021-01-30 06:37:22,JMaChXxUMb,6,3,1c2ff925-cf37-4388-803c-5adbcd3a68f9,12426,Blended Vanilla Lowfat Yogurt,45.54
5,Lfk-975998,2021-01-30 06:37:22,JMaChXxUMb,6,3,1c2ff925-cf37-4388-803c-5adbcd3a68f9,41270,"Ravioli, Cheese, Mini Rounds",37.53
6,mUy-756995,2021-01-29 14:41:26,qCNAyXkuJU,2,2,dbcaaca0-58b7-4f42-bbeb-8b63e43ccab0,41339,Allure Mangosteen & Mango Aloe Juice,97.43
7,mUy-756995,2021-01-29 14:41:26,qCNAyXkuJU,2,4,dbcaaca0-58b7-4f42-bbeb-8b63e43ccab0,46573,Raisin Granola Cereal,26.01
8,inq-746058,2021-01-10 02:31:28,qCNAyXkuJU,3,4,dbcaaca0-58b7-4f42-bbeb-8b63e43ccab0,46498,Glazed Raspberry Filled Doughnuts,53.19
9,inq-746058,2021-01-10 02:31:28,qCNAyXkuJU,3,3,dbcaaca0-58b7-4f42-bbeb-8b63e43ccab0,40564,Professional Loose Powder - 115 Translucent Medium,15.53
10,inq-746058,2021-01-10 02:31:28,qCNAyXkuJU,3,3,dbcaaca0-58b7-4f42-bbeb-8b63e43ccab0,22082,Light Homestyle Vegetable & Rice Soup,83.18
11,HZw-397879,2021-01-11 21:41:00,qCNAyXkuJU,2,3,dbcaaca0-58b7-4f42-bbeb-8b63e43ccab0,41186,"Brussels Sprouts, Petite",94.2
12,HZw-397879,2021-01-11 21:41:00,qCNAyXkuJU,2,3,dbcaaca0-58b7-4f42-bbeb-8b63e43ccab0,31785,Drumstick Lil' Drums Vanilla Caramel Sauce & Vanilla Fudge Sauce,98.57
13,Mhd-906409,2021-01-05 19:31:52,qCNAyXkuJU,3,2,dbcaaca0-58b7-4f42-bbeb-8b63e43ccab0,47980,No Pulp Calcium + Vitamin D Orange Juice,57.88
14,Mhd-906409,2021-01-05 19:31:52,qCNAyXkuJU,3,4,dbcaaca0-58b7-4f42-bbeb-8b63e43ccab0,2517,Vanilla Animal Cookies,40.87
15,Mhd-906409,2021-01-05 19:31:52,qCNAyXkuJU,3,1,dbcaaca0-58b7-4f42-bbeb-8b63e43ccab0,30465,Pecan Crowns Chocolates By Whitman Candies,71.61
16,hEj-058829,2021-01-17 10:44:03,kCKBYJuEHZ,2,1,2226b641-b312-4734-b57a-38b9cc810817,14564,Funsize Mix 65 Pieces Candies,56.03
17,hEj-058829,2021-01-17 10:44:03,kCKBYJuEHZ,2,4,2226b641-b312-4734-b57a-38b9cc810817,49596,Psyllium Husk Powder,12.96
18,GpN-961622,2021-01-01 22:59:19,LYNdrKVsxI,2,2,f280bdc6-d84e-486a-b785-c2d5612f841e,16941,Sauce Garlic Herb Marinade,41.13
19,GpN-961622,2021-01-01 22:59:19,LYNdrKVsxI,2,2,f280bdc6-d84e-486a-b785-c2d5612f841e,22718,Signature Italian Dressing,62.02
20,frx-159588,2021-01-07 20:01:07,LYNdrKVsxI,3,3,f280bdc6-d84e-486a-b785-c2d5612f841e,24842,Honey Wheat Pretzel Sticks,28.71
21,frx-159588,2021-01-07 20:01:07,LYNdrKVsxI,3,1,f280bdc6-d84e-486a-b785-c2d5612f841e,32084,Manuka Honey MGO 250+,99.12
22,frx-159588,2021-01-07 20:01:07,LYNdrKVsxI,3,2,f280bdc6-d84e-486a-b785-c2d5612f841e,39836,For Normal Hair Pure Clean Conditioner,36.34
23,Lqb-936384,2021-01-19 15:42:09,LYNdrKVsxI,9,4,f280bdc6-d84e-486a-b785-c2d5612f841e,43708,Premium Lemon Cake Mix,64.99
24,Lqb-936384,2021-01-19 15:42:09,LYNdrKVsxI,9,1,f280bdc6-d84e-486a-b785-c2d5612f841e,20408,Strawberry Kiwi 100% Juice,14.31
25,Lqb-936384,2021-01-19 15:42:09,LYNdrKVsxI,9,1,f280bdc6-d84e-486a-b785-c2d5612f841e,49343,Spicy Chipotle Mayonnaise,58.41
26,Lqb-936384,2021-01-19 15:42:09,LYNdrKVsxI,9,3,f280bdc6-d84e-486a-b785-c2d5612f841e,28052,Aged Goat Cheese Bijou,15.85
27,Lqb-936384,2021-01-19 15:42:09,LYNdrKVsxI,9,3,f280bdc6-d84e-486a-b785-c2d5612f841e,5793,Rehab Tea + Lemonade + Energy,91.79
28,Lqb-936384,2021-01-19 15:42:09,LYNdrKVsxI,9,1,f280bdc6-d84e-486a-b785-c2d5612f841e,12576,Kiwi Sandia Sparkling Water,29.6
29,Lqb-936384,2021-01-19 15:42:09,LYNdrKVsxI,9,1,f280bdc6-d84e-486a-b785-c2d5612f841e,24166,Extra Heavy Mayonaise,57.71
30,Lqb-936384,2021-01-19 15:42:09,LYNdrKVsxI,9,2,f280bdc6-d84e-486a-b785-c2d5612f841e,982,Aged Gouda Cheese,79.84
31,Lqb-936384,2021-01-19 15:42:09,LYNdrKVsxI,9,2,f280bdc6-d84e-486a-b785-c2d5612f841e,7786,Marketplace  Asparagus & Cheese Ravioli,38.03
32,gST-332636,2021-01-04 17:28:22,NScuQBZWGR,4,4,1ca8b26a-2851-4a7c-b2b9-9894686c2e5f,27410,"Merlot, California, 2004",64.66
33,gST-332636,2021-01-04 17:28:22,NScuQBZWGR,4,2,1ca8b26a-2851-4a7c-b2b9-9894686c2e5f,12214,Green Apple Hard Cider,46.11
34,gST-332636,2021-01-04 17:28:22,NScuQBZWGR,4,1,1ca8b26a-2851-4a7c-b2b9-9894686c2e5f,22590,Backpacker Chewy Oatmeal Bites Smore,46.26
35,gST-332636,2021-01-04 17:28:22,NScuQBZWGR,4,2,1ca8b26a-2851-4a7c-b2b9-9894686c2e5f,41905,Strawberry Banana Peach Light & Fit Nonfat Yogurt,80.39
36,tWe-994098,2021-01-15 00:46:14,NScuQBZWGR,2,1,1ca8b26a-2851-4a7c-b2b9-9894686c2e5f,44421,Peri-Peri Sauce Medium,40.5
37,tWe-994098,2021-01-15 00:46:14,NScuQBZWGR,2,4,1ca8b26a-2851-4a7c-b2b9-9894686c2e5f,15066,Deep Dish Pie Crust,71.49
38,CKD-952878,2021-01-11 20:17:39,NScuQBZWGR,8,3,1ca8b26a-2851-4a7c-b2b9-9894686c2e5f,10985,Premium Twin Pack Rock Cornish Game Hen,81.09
39,CKD-952878,2021-01-11 20:17:39,NScuQBZWGR,8,3,1ca8b26a-2851-4a7c-b2b9-9894686c2e5f,38372,Clear Care Plus with Hydraglyde Cleaning & Disinfecting Solution,11.19
