,name,state,latitude,longitude
0,Conway Supercenter,AR,35.10866,-92.436905
1,Sikeston Supercenter,MO,36.857394,-89.586051
2,Tahlequah Supercenter,OK,35.888765,-94.979859
3,Mountain Home Supercenter,AR,36.3549565,-92.3410256
4,Claremore Supercenter,OK,36.293955,-95.627125
5,Carthage Supercenter,MO,37.141958,-94.313292
6,Rogers Supercenter,AR,36.3313,-94.149024
7,Siloam Springs Supercenter,AR,36.183467,-94.512608
8,Lebanon Supercenter,MO,37.663493,-92.645849
9,West Plains Supercenter,MO,36.714712,-91.870322
10,Sherwood Supercenter,AR,34.838767,-92.236838
11,Harrison Supercenter,AR,36.269042,-93.139074
12,Commerce Supercenter,GA,34.247854,-83.456616
13,Van Buren Supercenter,AR,35.469113,-94.353427
14,Newport Supercenter,AR,35.618058,-91.254954
15,Morrilton Supercenter,AR,35.168795,-92.726727
16,Neosho Supercenter,MO,36.839161,-94.397282
17,Saint Robert Supercenter,MO,37.825154,-92.152265
18,Poplar Bluff Supercenter,MO,36.755728,-90.411818
19,Pryor Supercenter,OK,36.262476,-95.330024
20,Clinton Supercenter,MO,38.362772,-93.750585
21,Jacksonville Supercenter,AR,34.885098,-92.11255
22,Leavenworth Supercenter,KS,39.268764,-94.930386
23,Ruston Supercenter,LA,32.543518,-92.624043
24,Mexico Supercenter,MO,39.120508,-91.890515
25,Salem Supercenter,MO,37.634119,-91.546043
26,Miami Supercenter,OK,36.904509,-94.880384
27,Dexter Supercenter,MO,36.801185,-89.992373
28,Poteau Supercenter,OK,35.094581,-94.628209
29,Branson Store,MO,36.639045,-93.259769
30,Manhattan Supercenter,KS,39.188472,-96.556204
31,Nevada Supercenter,MO,37.832201,-94.326552
32,Nashville Supercenter,AR,33.925385,-93.857443
33,Paragould Supercenter,AR,36.057305,-90.52294
34,Farmington Supercenter,MO,37.7894913,-90.4353609
35,Idabel Supercenter,OK,33.898037,-94.803528
36,Bartlesville Supercenter,OK,36.740695,-95.931584
37,Fort Scott Supercenter,KS,37.807978,-94.708671
38,Coffeyville Supercenter,KS,37.042359,-95.579038
39,Moberly Supercenter,MO,39.4476727,-92.4204522
40,Eldon Store,MO,38.3352206,-92.5838242
41,Jefferson City Supercenter,MO,38.580049,-92.219907
42,Junction City Supercenter,KS,39.018965,-96.820674
43,Bolivar Supercenter,MO,37.591722,-93.403975
44,Jonesboro Supercenter,AR,35.81895,-90.685267
45,Monett Supercenter,MO,36.911771,-93.903147
46,Hot Springs Supercenter,AR,34.490929,-93.089251
47,Vinita Supercenter,OK,36.631855,-95.140418
48,Sallisaw Supercenter,OK,35.451011,-94.80181
49,Hugo Supercenter,OK,34.007244,-95.487949
50,Fulton Supercenter,MO,38.864222,-91.945748
51,Springdale Supercenter,AR,36.166247,-94.146954
52,Ava Supercenter,MO,36.959408,-92.676527
53,Russellville Supercenter,AR,35.280505,-93.105157
54,Booneville Supercenter,AR,35.1433678,-93.9018368
55,Warrensburg Supercenter,MO,38.781105,-93.735334
56,Troy Supercenter,MO,38.988635,-90.982017
57,Walnut Ridge Store,AR,36.07663,-90.97439
58,Joplin Supercenter,MO,37.072928,-94.472782
59,Blytheville Supercenter,AR,35.931083,-89.872175
60,Wynne Supercenter,AR,35.253427,-90.777454
61,Brownsville Supercenter,TN,35.5867,-89.238093
62,Clarksville Supercenter,AR,35.4486832,-93.4604664
63,Mena Supercenter,AR,34.588589,-94.225872
64,Sullivan Supercenter,MO,38.22075,-91.154792
65,Festus Supercenter,MO,38.211942,-90.387955
66,Pittsburg Supercenter,KS,37.433957,-94.702301
67,Osceola Supercenter,AR,35.6999918,-90.0126791
68,West Memphis Supercenter,AR,35.165456,-90.20001
69,Sapulpa Supercenter,OK,35.986324,-96.135074
70,Pocahontas Supercenter,AR,36.248722,-90.963337
71,Wagoner Supercenter,OK,35.95667,-95.397539
72,Pineville Supercenter,LA,31.367011,-92.406583
73,Taylor Supercenter,TX,30.598559,-97.418418
74,Marshfield Supercenter,MO,37.337928,-92.939632
75,Columbia Supercenter,MO,38.957069,-92.382341
76,Joplin Supercenter,MO,37.087131,-94.545908
77,Berryville Supercenter,AR,36.376273,-93.5870153
78,Perryville Supercenter,MO,37.705668,-89.896103
79,Magnolia Supercenter,AR,33.276653,-93.212017
80,Stilwell Supercenter,OK,35.798588,-94.623206
81,Benton Supercenter,AR,34.577533,-92.580065
82,Springfield Supercenter,MO,37.248775,-93.313985
83,Minden Supercenter,LA,32.6280728,-93.2511369
84,Mountain Grove Supercenter,MO,37.150021,-92.259461
85,Aurora Supercenter,MO,36.946462,-93.714993
86,Camdenton Supercenter,MO,38.025748,-92.722992
87,Grove Supercenter,OK,36.5764748,-94.7656055
88,Covington Supercenter,TN,35.545844,-89.665294
89,Forrest City Supercenter,AR,35.028039,-90.793582
90,Harrisonville Supercenter,MO,38.666161,-94.369474
91,Millington Supercenter,TN,35.357703,-89.897647
92,Desloge Supercenter,MO,37.883896,-90.513307
93,Ripley Supercenter,TN,35.760785,-89.543058
94,Bastrop Supercenter,LA,32.775799,-91.870221
95,Union Supercenter,MO,38.4344195,-90.9700946
